1칸      확률  2칸  확률  3칸  확률  4칸  확률  5칸  확률  6칸  확률
1   151 12.83%   0   0.00%   0   0.00%   0   0.00%   0   0.00%   0   0.00%
2   146 12.40%  17   1.44%   0   0.00%   0   0.00%   0   0.00%   0   0.00%
3   111 9.43%   32   2.72%   0   0.00%   0   0.00%   0   0.00%   0   0.00%
4   120 10.20%  46   3.91%   4   0.34%   0   0.00%   0   0.00%   0   0.00%
5   92  7.82%   58   4.93%  12   1.02%   0   0.00%   0   0.00%   0   0.00%
6   85  7.22%   53   4.50%  10   0.85%   1   0.08%   0   0.00%   0   0.00%
7   65  5.52%   53   4.50%  21   1.78%   2   0.17%   0   0.00%   0   0.00%
8   57  4.84%   66   5.61%  20   1.70%   8   0.68%   1   0.08%   0   0.00%
9   70  5.95%   67   5.69%  20   1.70%   4   0.34%   1   0.08%   0   0.00%
10  49  4.16%   70   5.95%  46   3.91%   5   0.42%   1   0.08%   0   0.00%
11  45  3.82%   72   6.12%  34   2.89%   8   0.68%   1   0.08%   0   0.00%
12  38  3.23%   76   6.46%  48   4.08%  10   0.85%   0   0.00%   0   0.00%
13  22  1.87%   57   4.84%  50   4.25%  22   1.87%   1   0.08%   0   0.00%
14  24  2.04%   47   3.99%  51   4.33%  24   2.04%   5   0.42%   0   0.00%
15  22  1.87%   49   4.16%  49   4.16%  21   1.78%   3   0.25%   0   0.00%
16  17  1.44%   51   4.33%  54   4.59%  20   1.70%   9   0.76%   0   0.00%
17  10  0.85%   45   3.82%  51   4.33%  40   3.40%   7   0.59%   0   0.00%
18  11  0.93%   53   4.50%  46   3.91%  36   3.06%  10   0.85%   0   0.00%
19  6   0.51%   50   4.25%  55   4.67%  33   2.80%  13   1.10%   0   0.00%
20  11  0.93%   34   2.89%  55   4.67%  37   3.14%  13   1.10%   1   0.08%
21  2   0.17%   25   2.12%  64   5.44%  44   3.74%  24   2.04%   1   0.08%
22  4   0.34%   25   2.12%  61   5.18%  44   3.74%  12   1.02%   4   0.34%
23  6   0.51%   10   0.85%  48   4.08%  56   4.76%  27   2.29%   3   0.25%
24  5   0.42%   22   1.87%  48   4.08%  57   4.84%  27   2.29%   9   0.76%
25  2   0.17%   19   1.61%  36   3.06%  49   4.16%  31   2.63%   6   0.51%
26  3   0.25%   17   1.44%  52   4.42%  57   4.84%  25   2.12%  16   1.36%
27  2   0.17%   17   1.44%  41   3.48%  53   4.50%  46   3.91%   7   0.59%
28  0   0.00%   11   0.93%  39   3.31%  59   5.01%  57   4.84%  13   1.10%
29  1   0.08%   10   0.85%  34   2.89%  53   4.50%  39   3.31%  17   1.44%
30  0   0.00%   7    0.59%  24   2.04%  57   4.84%  42   3.57%  11   0.93%
31  0   0.00%   8    0.68%  14   1.19%  56   4.76%  53   4.50%  21   1.78%
32  0   0.00%   3    0.25%  24   2.04%  48   4.08%  58   4.93%  30   2.55%
33  0   0.00%   1    0.08%  23   1.95%  47   3.99%  59   5.01%  19   1.61%
34  0   0.00%   3    0.25%   9   0.76%  37   3.14%  74   6.29%  30   2.55%
35  0   0.00%   1    0.08%  13   1.10%  49   4.16%  74   6.29%  32   2.72%
36  0   0.00%   1    0.08%   6   0.51%  25   2.12%  64   5.44%  48   4.08%
37  0   0.00%   1    0.08%   5   0.42%  43   3.65%  59   5.01%  59   5.01%
38  0   0.00%   0    0.00%   5   0.42%  21   1.78%  63   5.35%  61   5.18%
39  0   0.00%   0    0.00%   2   0.17%  12   1.02%  67   5.69%  78   6.63%
40  0   0.00%   0    0.00%   2   0.17%  17   1.44%  58   4.93%  85   7.22%
41  0   0.00%   0    0.00%   0   0.00%  17   1.44%  48   4.08%  85   7.22%
42  0   0.00%   0    0.00%   1   0.08%   3   0.25%  53   4.50% 103   8.75%
43  0   0.00%   0    0.00%   0   0.00%   2   0.17%  31   2.63% 122  10.37%
44  0   0.00%   0    0.00%   0   0.00%   0   0.00%  21   1.78% 141  11.98%
45  0   0.00%   0    0.00%   0   0.00%   0   0.00%   0   0.00% 175  14.87%
